 1.000000 	 9251066
 1.500000 	 15302183
 2.000000 	 22474897
 2.100000 	 24511162
 2.120000 	 25515405
 2.140000 	 22679200
 2.160000 	 23362896
 2.180000 	 13421437
 2.200000 	 13429680
 2.220000 	 11932713
 2.240000 	 11355873
 2.260000 	 11059438
 2.280000 	 9619273
 2.300000 	 9764746
 2.320000 	 8452341
 2.340000 	 8050255
 2.360000 	 6007873
 2.380000 	 5069370
 2.500000 	 2832742
 3.000000 	 909357
 3.500000 	 530316
 4.000000 	 411863
 4.500000 	 325558
 5.000000 	 248405
 5.500000 	 230990
 6.000000 	 229971
 6.500000 	 193305
