 1.000000 	 1000000001
 1.500000 	 1000000001
 2.000000 	 1000000001
 2.100000 	 1000000001
 2.120000 	 1000000001
 2.140000 	 1000000001
 2.160000 	 1000000001
 2.180000 	 1000000001
 2.200000 	 1000000001
 2.220000 	 1000000001
 2.240000 	 1000000001
 2.260000 	 1000000001
 2.280000 	 1000000001
 2.300000 	 777036961
 2.320000 	 240139992
 2.340000 	 180760401
 2.360000 	 20467495
 2.380000 	 44136121
 2.500000 	 13301783
 3.000000 	 8403699
 3.500000 	 2934108
 4.000000 	 663704
 4.500000 	 633852
 5.000000 	 251424
 5.500000 	 363414
 6.000000 	 324318
 6.500000 	 379935
