 # t-STEP 	 e 	 m
 1165 	 -1.998576 	 -0.999640 	 -1.998656 	 0.999664 	 -0.010400 	 -0.002376
 1282 	 -1.998352 	 -0.999584 	 -1.998528 	 0.999632 	 -0.011008 	 -0.002328
 1411 	 -1.998256 	 -0.999560 	 -1.998336 	 0.999584 	 -0.011792 	 -0.002416
 1553 	 -1.998064 	 -0.999512 	 -1.998112 	 0.999528 	 -0.012512 	 -0.002432
 1709 	 -1.997872 	 -0.999464 	 -1.998016 	 0.999504 	 -0.013504 	 -0.002416
 1880 	 -1.997648 	 -0.999408 	 -1.997920 	 0.999480 	 -0.014400 	 -0.002560
 2069 	 -1.997392 	 -0.999344 	 -1.997728 	 0.999432 	 -0.015456 	 -0.002504
 2276 	 -1.997200 	 -0.999296 	 -1.997488 	 0.999368 	 -0.016656 	 -0.002576
 2504 	 -1.996976 	 -0.999240 	 -1.997264 	 0.999312 	 -0.017808 	 -0.002472
 2755 	 -1.996624 	 -0.999152 	 -1.997008 	 0.999248 	 -0.018752 	 -0.002584
 3031 	 -1.996256 	 -0.999056 	 -1.996720 	 0.999176 	 -0.020128 	 -0.002520
 3335 	 -1.995936 	 -0.998976 	 -1.996240 	 0.999056 	 -0.021920 	 -0.002488
 3669 	 -1.995536 	 -0.998872 	 -1.995792 	 0.998944 	 -0.023488 	 -0.002224
 4036 	 -1.995024 	 -0.998744 	 -1.995216 	 0.998800 	 -0.025472 	 -0.002336
 4440 	 -1.994448 	 -0.998600 	 -1.994784 	 0.998688 	 -0.027264 	 -0.002240
 4885 	 -1.993776 	 -0.998432 	 -1.994272 	 0.998560 	 -0.029792 	 -0.002200
 5374 	 -1.993360 	 -0.998328 	 -1.993568 	 0.998384 	 -0.032448 	 -0.002072
 5912 	 -1.992688 	 -0.998160 	 -1.992928 	 0.998224 	 -0.035152 	 -0.002232
 6504 	 -1.991808 	 -0.997936 	 -1.991968 	 0.997984 	 -0.038240 	 -0.002080
 7155 	 -1.991232 	 -0.997792 	 -1.991136 	 0.997776 	 -0.041824 	 -0.001888
 7871 	 -1.990080 	 -0.997504 	 -1.990240 	 0.997552 	 -0.045424 	 -0.001984
 8659 	 -1.989056 	 -0.997248 	 -1.989120 	 0.997272 	 -0.048864 	 -0.002144
 9525 	 -1.988048 	 -0.996992 	 -1.987968 	 0.996976 	 -0.052800 	 -0.002328
 10478 	 -1.986544 	 -0.996600 	 -1.986960 	 0.996720 	 -0.056688 	 -0.002352
 11526 	 -1.985328 	 -0.996280 	 -1.985568 	 0.996368 	 -0.060880 	 -0.002272
 12679 	 -1.984048 	 -0.995960 	 -1.984384 	 0.996064 	 -0.066320 	 -0.002296
 13947 	 -1.982720 	 -0.995624 	 -1.982944 	 0.995688 	 -0.072528 	 -0.002144
 15342 	 -1.981104 	 -0.995216 	 -1.981440 	 0.995296 	 -0.078448 	 -0.001872
 16877 	 -1.979472 	 -0.994784 	 -1.979520 	 0.994800 	 -0.084960 	 -0.002304
 18565 	 -1.977152 	 -0.994184 	 -1.977264 	 0.994216 	 -0.092160 	 -0.001856
 20422 	 -1.974960 	 -0.993624 	 -1.975024 	 0.993640 	 -0.100032 	 -0.001488
 22465 	 -1.972464 	 -0.992984 	 -1.972464 	 0.992976 	 -0.108832 	 -0.001904
 24712 	 -1.969984 	 -0.992336 	 -1.969504 	 0.992192 	 -0.118144 	 -0.001888
 27184 	 -1.967712 	 -0.991744 	 -1.966672 	 0.991440 	 -0.127520 	 -0.002088
