 1.000000 	 2114044
 1.500000 	 1653430
 2.000000 	 2872743
 2.100000 	 1539278
 2.120000 	 2112362
 2.140000 	 1952149
 2.160000 	 1220467
 2.180000 	 786899
 2.200000 	 1244218
 2.220000 	 1384285
 2.240000 	 1300438
 2.260000 	 1278454
 2.280000 	 764941
 2.300000 	 1377390
 2.320000 	 698405
 2.340000 	 988834
 2.360000 	 696369
 2.380000 	 698838
 2.500000 	 281903
 3.000000 	 146869
 3.500000 	 87400
 4.000000 	 66510
 4.500000 	 47640
 5.000000 	 34699
 5.500000 	 31396
 6.000000 	 33320
 6.500000 	 28748
