1.000000 3674 1000000001 440752 1000000001 2114044 1000000001 9251066 1000000001 39926415 1000000001 160487252 1000000001
1.500000 1791 54595 349305 1000000001 1653430 1000000001 15302183 1000000001 58506385 1000000001 250886019 1000000001
2.000000 1375 6378 320628 8133974 2872743 1000000001 22474897 1000000001 86958115 1000000001 423641983 1000000001
2.100000 967 5151 169228 340111 1539278 205995137 24511162 1000000001 107399415 1000000001 491216999 1000000001
2.120000 876 5151 283736 90991 2112362 62784240 25515405 1000000001 103044412 1000000001 461904759 1000000001
2.140000 876 11938 305712 54355 1952149 32481107 22679200 1000000001 125258622 1000000001 497399713 1000000001
2.160000 867 11938 221938 108609 1220467 8892001 23362896 1000000001 135230385 1000000001 551651585 1000000001
2.180000 855 11938 319717 387892 786899 26002614 13421437 715976646 87395810 1000000001 539618312 1000000001
2.200000 855 11938 127416 225559 1244218 6693798 13429680 1000000001 120608802 1000000001 455402731 1000000001
2.220000 855 11938 126051 108551 1384285 5269148 11932713 318358133 93923181 1000000001 464771982 1000000001
2.240000 855 5593 127016 53106 1300438 5102027 11355873 47175977 70050576 1000000001 378726824 1000000001
2.260000 855 5593 93468 214726 1278454 3946602 11059438 83737581 59537578 503430591 296457591 1000000001
2.280000 772 5593 102931 144220 764941 847582 9619273 26874634 59634567 288328714 230982264 1000000001
2.300000 749 4591 207563 207900 1377390 1076218 9764746 16642710 46622260 119612768 219479107 777036961
2.320000 747 4591 176153 78225 698405 145718 8452341 43464324 33530493 18855609 178178791 240139992
2.340000 747 4591 100038 56308 988834 1319882 8050255 8704403 28757339 17948007 138753890 180760401
2.360000 1083 5152 100718 80310 696369 482105 6007873 3291257 26659296 9100228 129032901 20467495
2.380000 1103 5152 101288 14846 698838 224107 5069370 2177523 21722703 36335740 108043565 44136121
2.500000 2522 2846 82819 15960 281903 139408 2832742 772304 14047378 2048478 56091761 13301783
3.000000 1030 697 29871 5150 146869 10452 909357 308664 3689388 266063 14745887 8403699
3.500000 554 343 15168 1074 87400 6741 530316 35858 2331382 223921 8434021 2934108
4.000000 534 138 18501 1972 66510 20711 411863 30122 1572036 201397 6262088 663704
4.500000 254 843 16538 948 47640 11901 325558 31722 1474164 70226 5116416 633852
5.000000 204 531 11600 3850 34699 3171 248405 13049 1137317 134429 4566677 251424
5.500000 741 214 10620 547 31396 4019 230990 13776 983167 108332 3971027 363414
6.000000 178 292 6961 515 33320 2483 229971 36598 845358 47684 3613094 324318
6.500000 232 219 5319 599 28748 3615 193305 16644 818482 145832 3216442 379935
